qid,strategy,metric,rule,backtrack,informed,seed,target_step,oracle_step,targeted_oracle_match,success,em,f1,final_answer,terminated_reason,recovery_gen_tokens,recovery_tool_calls,recovery_latency_s,recovery_prompt_tokens,recovery_model_requests,n_prefix_steps,total_gen_tokens,original_gen_tokens,budget,step_budget_mode,new_step_allowance,execution_id,prompt_sha256,model_name,dataset,run_id,multiplier,manifest_sha256,selection_gen_tokens,selection_prompt_tokens,selection_model_requests,incremental_gen_tokens,incremental_prompt_tokens,incremental_model_requests,selection_latency_s,diagnosis_input_sha256,diagnosis_fallback,diagnosis_fallback_reason
5a753c8c55429916b01642ab,full_restart,,,0,False,0,0,,,0,0.0,0.0,,budget,217,4,4.312331199645996,2822,5,0,217,435,217,new,8,1f8b515601be2b51cde7c8a47c3209635d9efc951df405a7cfbb8b9cf5ed4c27,ae0854c27c8ea7fad500dd093daa32afac274e4bc835ea2aabf600d49358af93,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,217,2822,5,,,,
5a753c8c55429916b01642ab,unc__perplexity__argmax__bt2,perplexity,argmax,2,False,0,2,,,0,0.0,0.0,"I am unable to provide the specific song from The Who's fourth studio album that reached No. 4 on the UK charts and No. 19 on the U.S. ""Billboard"" Hot 10",finished,217,3,4.096898317337036,3772,4,2,326,435,217,new,8,9bd13df13cf02fd86bac5fafb3ebc410fd659d5f55f1f8e01add202ee7431922,5f8e5b60875c4340d39fc7f4561e677702c407f146128610c71459ff02367611,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,217,3772,4,,,,
5a753c8c55429916b01642ab,diagnosis_replay,,,0,False,0,5,,,0,0.0,0.0,,budget,217,3,3.629361391067505,6005,4,5,468,435,217,new,8,d3c57373b416f3a24aa8b630977d838c1580b69b928a5d743188b233db39d02f,7be522c37fb1b939317bf59a187aa806adac99c16dc6ab77377f19b2d4b39e06,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,43,1836,1,260,7841,5,1.1655991169999425,350ecc8b173d485c2e793350f885ccc849223d27caf889aa7fb49384b0ca1299,False,
5a77ad2f55429967ab105225,full_restart,,,0,False,0,0,,,0,0.0,0.0,,budget,131,2,3.4659247398376465,920,3,0,131,263,131,new,8,96680c5e9d233b0cab69117a817e45393fbf73b37cfdfd9f0a8e1c3405ab1b41,a85c4fe802ae7cb20520e961fe374de26025f04425579447223136ca252aceef,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,131,920,3,,,,
5a77ad2f55429967ab105225,unc__perplexity__argmax__bt2,perplexity,argmax,2,False,0,0,,,0,0.0,0.0,,budget,131,2,3.4659247398376465,920,3,0,131,263,131,new,8,96680c5e9d233b0cab69117a817e45393fbf73b37cfdfd9f0a8e1c3405ab1b41,a85c4fe802ae7cb20520e961fe374de26025f04425579447223136ca252aceef,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,131,920,3,,,,
5a77ad2f55429967ab105225,diagnosis_replay,,,0,False,0,0,,,0,0.0,0.0,,budget,131,2,3.4659247398376465,920,3,0,131,263,131,new,8,96680c5e9d233b0cab69117a817e45393fbf73b37cfdfd9f0a8e1c3405ab1b41,a85c4fe802ae7cb20520e961fe374de26025f04425579447223136ca252aceef,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,56,847,1,187,1767,4,0.9619027039999537,5aa250308cd5acdc00508209a8e95d0c97ffb3f53a7ed3cb758217565049cf2f,False,
5a7c25895542997c3ec972e6,full_restart,,,0,False,0,0,,,0,0.0,0.0,,budget,216,4,3.7557902336120605,1708,4,0,216,433,216,new,8,25baac8f71a4463d916008a2aa5c11203a5b22f9adf938e3d4da021544b18010,cd4ca7cd194fc609c228c141252e37cc18e91390b5fb82fc5c4f4d045e533c55,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,216,1708,4,,,,
5a7c25895542997c3ec972e6,diagnosis_replay,,,0,False,0,0,,,0,0.0,0.0,,budget,216,4,3.7557902336120605,1708,4,0,216,433,216,new,8,25baac8f71a4463d916008a2aa5c11203a5b22f9adf938e3d4da021544b18010,cd4ca7cd194fc609c228c141252e37cc18e91390b5fb82fc5c4f4d045e533c55,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,30,1822,1,246,3530,5,0.7661483299999645,c05481fd3a1a5798602b58b61ffa662477af98595a3f34c340197a97a46a2e35,False,
5a7c25895542997c3ec972e6,unc__perplexity__argmax__bt2,perplexity,argmax,2,False,0,5,,,1,1.0,1.0,Orlando Predators,finished,166,2,3.0204453468322754,3813,3,5,433,433,216,new,8,137405fa481fff4f67b6dd99e8fe5c50c00834cc99f6f7db0391cb0bcf721c9c,120c456100dea96b69514fd2166affdfbe373db423e0425421ce0868eea289d7,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,166,3813,3,,,,
5a7ca55b55429907fabeefe0,full_restart,,,0,False,0,0,,,0,0.0,0.0,,budget,55,1,1.6244349479675293,533,2,0,55,111,55,new,8,b29700b101ad1455cfe91fa2446435f2332b5bf8c52abd7f338a527a3ca12ce6,794c25a51c66f1bdd1aa84123c3781eaddd0e0901bed5fa36255fedd96f68451,/workspace/agent-repair-iclr2027/huggingface/hub/models--Qwen--Qwen2.5-32B-Instruct-AWQ/snapshots/5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c,hotpotqa,aws119-diagnosis250-20260914-v2-b01,0.5,e6e8ecc18a9f581c82fc107d13554231e77c1ffae9a880a189b5520d6ef99bb3,0,0,0,55,533,2,,,,
